blk_no,postal_code,entity_id,latitude,longitude,hawker_centre_name,hawker_centre_type,hawker_centre_postal_code,hawker_centre_location,hawker_centre_latitude,hawker_centre_longitude,euclidean_distance_to_nearest_hawker_centre_km,nearest_hawker_centre_estimated_walking_km,walking_time_to_nearest_hawker_centre_mins
64,310064,513,1.3358734900830809,103.85267862035538,Blk 75 Toa Payoh Lorong 5,HC,310075,"Blk 75, Lorong 5 Toa Payoh, S(310075)",1.3360207658096421,103.85295699066083,0.0351,0.0421,0.53
679B,642679,680,1.3439071584300886,103.7060581971699,Blks 221 A/B Boon Lay Place,MHC,641221,"Blk 221A/B, Boon Lay Place, S(641221/642221)",1.34522406539603,103.71280068325645,0.7646,0.9175,11.47
5,160005,2691,1.2922675361568288,103.82759445058944,Beo Crescent Market,MHC,169982,"38A, Beo Crescent, S(169982)",1.288830850868405,103.82735397913328,0.3835,0.4602,5.75
526,460526,4174,1.334243460106562,103.92914034942704,Blk 511 Bedok North Street 3,MHC,460511,"Blk 511, Bedok North Street 3, S(460511)",1.3330094778822423,103.93045597164073,0.2008,0.2409,3.01
236,570236,3654,1.3589251726130396,103.84711542763137,Blk 341 Ang Mo Kio Ave 1,MHC,560341,"Blk 341, Ang Mo Kio Ave 1, S(560341)",1.363845167386306,103.84806730049579,0.5578,0.6694,8.37
614B,522614,11054177,1.3649313769244893,103.93591618571955,Blk 137 Tampines Street 11,MHC,521137,"Blk 137, Tampines Street 11, S(521137)",1.3456395427244823,103.94462454944245,2.3561,2.8273,35.34
423A,751423,402,1.4534804368342351,103.81799069948458,Chong Pang Market & Food Centre,MHC,760104,"Blk 104/105, Yishun Ring Road, S(760104/760105)",1.431526731266786,103.82841986163255,2.7055,3.2466,40.58
60,460060,2706,1.3245445325315375,103.92120753634622,Blk 538 Bedok North Street 3,MHC,460538,"Blk 538, Bedok North Street 3, S(460538)",1.3320672671941451,103.92462132065832,0.9196,1.1035,13.79
55,320055,6176,1.328025029318742,103.85669927530598,Blk 90 Whampoa Drive,MHC,320090,"Blk 90, Whampoa Drive, S(320090)",1.3230640283908381,103.8549950810287,0.5839,0.7007,8.76
163B,542163,10863,1.3891445681833976,103.90875265881265,Kovan Market & Food Centre,MHC,530209,"Blk 209, Hougang Street 21, S(530209)",1.359083831888168,103.88605537443924,4.1927,5.0312,62.89
206C,543206,3203,1.3871300317137487,103.89758802428764,Kovan Market & Food Centre,MHC,530209,"Blk 209, Hougang Street 21, S(530209)",1.359083831888168,103.88605537443924,3.3756,4.0507,50.63
15,210015,2932,1.311118659449069,103.85175059763264,Tekka Market,MHC,210665,"Blk 665, Buffalo Road, S(210665)",1.3061777390370815,103.85060998587294,0.5645,0.6774,8.47
470C,533470,11053353,1.3785479103942826,103.90093880668503,Kovan Market & Food Centre,MHC,530209,"Blk 209, Hougang Street 21, S(530209)",1.359083831888168,103.88605537443924,2.7273,3.2728,40.91
700B,562700,3071,1.3694680424237047,103.84600520452697,Blk 724 Ang Mo Kio Ave 6,MHC,560724,"Blk 724, Ang Mo Kio Ave 6, S(560724)",1.3721725844378232,103.84651031249359,0.3063,0.3675,4.59
159,520159,10660,1.3449063109115595,103.95991046945583,Blk 137 Tampines Street 11,MHC,521137,"Blk 137, Tampines Street 11, S(521137)",1.3456395427244823,103.94462454944245,1.7031,2.0437,25.55
694,530694,8468,1.3760646555438172,103.88790016820481,Kovan Market & Food Centre,MHC,530209,"Blk 209, Hougang Street 21, S(530209)",1.359083831888168,103.88605537443924,1.9014,2.2817,28.52
159,610159,7611,1.3293707050250387,103.72243278245021,Taman Jurong Market & Food Centre,MHC,618499,"3, Yung Sheng Road, S(618499)",1.3345893785047198,103.72151991984624,0.5898,0.7077,8.85
92,390092,12742,1.30984155594914,103.88876477288825,Blk 51 Old Airport Road,MHC,390051,"Blk 51, Old Airport Road, S(390051)",1.3081098251115713,103.88573167801405,0.3887,0.4665,5.83
25A,162025,8906,1.2835025248749894,103.8261893068762,Blk 112 Jalan Bukit Merah,MHC,160112,"Blk 112, Jalan Bukit Merah, S(160112)",1.280001821226117,103.82600359589021,0.3902,0.4683,5.85
470,760470,12683,1.4262045356953545,103.85296347669065,Chong Pang Market & Food Centre,MHC,760104,"Blk 104/105, Yishun Ring Road, S(760104/760105)",1.431526731266786,103.82841986163255,2.7949,3.3538,41.92
139,520139,7758,1.3469061311350794,103.95653341208352,Blk 137 Tampines Street 11,MHC,521137,"Blk 137, Tampines Street 11, S(521137)",1.3456395427244823,103.94462454944245,1.3328,1.5994,19.99
108,750108,11054071,1.4476979633123785,103.83228201370561,Chong Pang Market & Food Centre,MHC,760104,"Blk 104/105, Yishun Ring Road, S(760104/760105)",1.431526731266786,103.82841986163255,1.8508,2.2209,27.76
81,460081,5402,1.3288823500419973,103.9405222621455,Blk 85 Bedok North Street 4,MHC,460085,"Blk 85, Bedok North Street 4, S(460085)",1.3320577697615454,103.93871502759151,0.4067,0.488,6.1
778,730778,9072,1.4473754678786208,103.79957335605454,Blks 20/21 Marsiling Lane,MHC,730020,"Blk 20/21, Marsiling Lane, S(730020/730021)",1.4434048227609568,103.77696721902483,2.5543,3.0651,38.31
739A,471739,11054497,1.3382945663413535,103.92344882863154,Blk 538 Bedok North Street 3,MHC,460538,"Blk 538, Bedok North Street 3, S(460538)",1.3320672671941451,103.92462132065832,0.7054,0.8465,10.58
14,210014,5873,1.3113738351237452,103.85153628990376,Pek Kio Market & Food Centre,MHC,211041,"Blk 41A, Cambridge Road, S(211041)",1.3161599942339943,103.85022513135027,0.5524,0.6629,8.29
329,540329,11054498,1.396359735377205,103.88925524765386,Kovan Market & Food Centre,MHC,530209,"Blk 209, Hougang Street 21, S(530209)",1.359083831888168,103.88605537443924,4.1648,4.9978,62.47
401,670401,11055337,1.3806374259791454,103.76881934482886,Bukit Timah Market,MHC,588215,"51, Upper Bukit Timah Road, S(588215)",1.3394524205511975,103.77600731109843,4.654,5.5848,69.81
866,760866,1998,1.414393807839387,103.83726094005515,Chong Pang Market & Food Centre,MHC,760104,"Blk 104/105, Yishun Ring Road, S(760104/760105)",1.431526731266786,103.82841986163255,2.1461,2.5753,32.19
165,610165,11050972,1.3309222903646722,103.72141796560285,Taman Jurong Market & Food Centre,MHC,618499,"3, Yung Sheng Road, S(618499)",1.3345893785047198,103.72151991984624,0.4084,0.4901,6.13
166,670166,3807,1.3775190138851234,103.76548934803928,Bukit Timah Market,MHC,588215,"51, Upper Bukit Timah Road, S(588215)",1.3394524205511975,103.77600731109843,4.3963,5.2755,65.94
355,730355,10919,1.4327850040796297,103.7845804251512,Blks 20/21 Marsiling Lane,MHC,730020,"Blk 20/21, Marsiling Lane, S(730020/730021)",1.4434048227609568,103.77696721902483,1.4544,1.7453,21.82
273A,571273,5321,1.3563708241842451,103.8439348607364,Blk 320 Shunfu Road,MHC,570320,"Blk 320, Shunfu Road, S(570320)",1.3520255628362494,103.83696451400358,0.9142,1.097,13.71
908,520908,3107,1.3504625518698194,103.93876241663489,Blk 137 Tampines Street 11,MHC,521137,"Blk 137, Tampines Street 11, S(521137)",1.3456395427244823,103.94462454944245,0.8449,1.0139,12.67
684D,684684,11378,1.4046651127296634,103.7468052589214,Blk 4A Woodlands Centre Road,HC,731004,"Blk 4A, Woodlands Centre Road, S(731004)",1.4410842154426942,103.77007681196069,4.8108,5.7729,72.16
64,440064,11052899,1.3020725264473778,103.90946337843316,Blk 84 Marine Parade Central,MHC,440084,"Blk 84, Marine Parade Central, S(440084)",1.3022852161912308,103.90633860433309,0.3486,0.4183,5.23
211,600211,2528,1.338521785557631,103.74002809698888,Blk 254 Jurong East Street 24,MHC,600254,"Blk 254, Jurong East Street 24, S(600254)",1.3434881256069369,103.73773840345983,0.6088,0.7305,9.13
840,520840,881,1.351089130467474,103.93561769840503,Blk 137 Tampines Street 11,MHC,521137,"Blk 137, Tampines Street 11, S(521137)",1.3456395427244823,103.94462454944245,1.1716,1.406,17.57
404A,751404,379,1.4543166938645644,103.81635218546879,Chong Pang Market & Food Centre,MHC,760104,"Blk 104/105, Yishun Ring Road, S(760104/760105)",1.431526731266786,103.82841986163255,2.8705,3.4446,43.06
611,730611,1841,1.435522554794448,103.797024993371,Blks 20/21 Marsiling Lane,MHC,730020,"Blk 20/21, Marsiling Lane, S(730020/730021)",1.4434048227609568,103.77696721902483,2.3984,2.8781,35.98
435A,531435,1063,1.3778504893865111,103.89396829561618,Kovan Market & Food Centre,MHC,530209,"Blk 209, Hougang Street 21, S(530209)",1.359083831888168,103.88605537443924,2.2671,2.7205,34.01
858D,524858,11099,1.3544437277261858,103.94031358666781,Blk 137 Tampines Street 11,MHC,521137,"Blk 137, Tampines Street 11, S(521137)",1.3456395427244823,103.94462454944245,1.0912,1.3094,16.37
780,510780,152,1.373577218537899,103.93779044114356,Blk 137 Tampines Street 11,MHC,521137,"Blk 137, Tampines Street 11, S(521137)",1.3456395427244823,103.94462454944245,3.2017,3.842,48.03
216,540216,10440,1.3909568070182934,103.89311972224756,Kovan Market & Food Centre,MHC,530209,"Blk 209, Hougang Street 21, S(530209)",1.359083831888168,103.88605537443924,3.6342,4.361,54.51
104,322104,6657,1.3198332915798485,103.86099618557773,Blk 29 Bendemeer Road,MHC,330029,"Blk 29, Bendemeer Road, S(330029)",1.3192166867721016,103.86302092555596,0.2356,0.2827,3.53
104,530104,163,1.354817598956842,103.89029347276973,Blk 105 Hougang Ave 1,MHC,530105,"Blk 105, Hougang Ave 1, S(530105)",1.353847276305833,103.89009415456503,0.1103,0.1323,1.65
541,460541,3444,1.3313449669451618,103.92305699731318,Blk 538 Bedok North Street 3,MHC,460538,"Blk 538, Bedok North Street 3, S(460538)",1.3320672671941451,103.92462132065832,0.1918,0.2301,2.88
619B,522619,11051990,1.361883596098443,103.9394148738858,Blk 137 Tampines Street 11,MHC,521137,"Blk 137, Tampines Street 11, S(521137)",1.3456395427244823,103.94462454944245,1.899,2.2788,28.48
226,310226,7987,1.3395220094121778,103.85707178101204,Blk 210 Toa Payoh Lorong 8,MHC,310210,"Blk 210, Lorong 8 Toa Payoh, S(310210)",1.340252082146037,103.85433383564761,0.3154,0.3784,4.73
513,670513,7244,1.3880428622250247,103.76767393045945,Bukit Timah Market,MHC,588215,"51, Upper Bukit Timah Road, S(588215)",1.3394524205511975,103.77600731109843,5.488,6.5856,82.32
407,670407,4345,1.3814662246956462,103.76802263863117,Bukit Timah Market,MHC,588215,"51, Upper Bukit Timah Road, S(588215)",1.3394524205511975,103.77600731109843,4.7606,5.7128,71.41
109C,753109,11054858,1.4484557794887065,103.82934354041956,Chong Pang Market & Food Centre,MHC,760104,"Blk 104/105, Yishun Ring Road, S(760104/760105)",1.431526731266786,103.82841986163255,1.8873,2.2648,28.31
682A,821682,11053044,1.4035743452410536,103.91630293014276,Kovan Market & Food Centre,MHC,530209,"Blk 209, Hougang Street 21, S(530209)",1.359083831888168,103.88605537443924,5.9883,7.186,89.83
22,530022,8399,1.364237991730712,103.89042929699048,Kovan Market & Food Centre,MHC,530209,"Blk 209, Hougang Street 21, S(530209)",1.359083831888168,103.88605537443924,0.7524,0.9029,11.29
203A,541203,7108,1.386542082449603,103.89559422059112,Kovan Market & Food Centre,MHC,530209,"Blk 209, Hougang Street 21, S(530209)",1.359083831888168,103.88605537443924,3.2357,3.8829,48.54
404,600404,11954,1.319822222291114,103.74929395766893,Blk 37A Teban Gardens Road,MHC,601037,"Blk 37A, Teban Gardens Road, S(601037)",1.3208317211187113,103.74274735198563,0.7372,0.8846,11.06
52,161052,7649,1.289472490666668,103.82854848800926,Beo Crescent Market,MHC,169982,"38A, Beo Crescent, S(169982)",1.288830850868405,103.82735397913328,0.1509,0.1811,2.26
196A,821196,555,1.3993094576592955,103.90673414506634,Kovan Market & Food Centre,MHC,530209,"Blk 209, Hougang Street 21, S(530209)",1.359083831888168,103.88605537443924,5.0346,6.0416,75.52
235,670235,4845,1.3784143946097702,103.77127882981951,Bukit Timah Market,MHC,588215,"51, Upper Bukit Timah Road, S(588215)",1.3394524205511975,103.77600731109843,4.3691,5.2429,65.54
671,680671,11611,1.4025473398641923,103.74802574727464,Blk 4A Woodlands Centre Road,HC,731004,"Blk 4A, Woodlands Centre Road, S(731004)",1.4410842154426942,103.77007681196069,4.9422,5.9306,74.13
165,570165,12554,1.3491078373487804,103.85617526428989,Blk 210 Toa Payoh Lorong 8,MHC,310210,"Blk 210, Lorong 8 Toa Payoh, S(310210)",1.340252082146037,103.85433383564761,1.0069,1.2083,15.1
82A,371082,11052342,1.3242122973414636,103.88954988880452,Blk 89 Circuit Road,MHC,370089,"Blk 89, Circuit Road, S(370089)",1.3235797144355141,103.88543884518086,0.4629,0.5555,6.94
257C,543257,4399,1.3929148215902356,103.89637431879757,Kovan Market & Food Centre,MHC,530209,"Blk 209, Hougang Street 21, S(530209)",1.359083831888168,103.88605537443924,3.9373,4.7247,59.06
153A,551153,3176,1.3697580945892145,103.87197382163558,Chomp Chomp Food Centre,HC,557269,"20, Kensington Park Road, S(557269)",1.3642325151486436,103.8665270206699,0.8636,1.0363,12.95
433B,822433,12621,1.416778629489005,103.91014122281557,Kovan Market & Food Centre,MHC,530209,"Blk 209, Hougang Street 21, S(530209)",1.359083831888168,103.88605537443924,6.9595,8.3514,104.39
431C,823431,12622,1.4175614237577219,103.91019047518547,Kovan Market & Food Centre,MHC,530209,"Blk 209, Hougang Street 21, S(530209)",1.359083831888168,103.88605537443924,7.0421,8.4505,105.63
510A,761510,6428491,1.4149083323574259,103.840818242536,Chong Pang Market & Food Centre,MHC,760104,"Blk 104/105, Yishun Ring Road, S(760104/760105)",1.431526731266786,103.82841986163255,2.3078,2.7694,34.62
401A,671401,11055338,1.381246119218644,103.76887807216465,Bukit Timah Market,MHC,588215,"51, Upper Bukit Timah Road, S(588215)",1.3394524205511975,103.77600731109843,4.7196,5.6636,70.79
193,540193,8721,1.3934535836786908,103.9017663780309,Kovan Market & Food Centre,MHC,530209,"Blk 209, Hougang Street 21, S(530209)",1.359083831888168,103.88605537443924,4.2066,5.0479,63.1
643,730643,1861,1.4376966695806743,103.80162546168502,Blks 20/21 Marsiling Lane,MHC,730020,"Blk 20/21, Marsiling Lane, S(730020/730021)",1.4434048227609568,103.77696721902483,2.8167,3.38,42.25
403,680403,11425,1.379473604742478,103.7389003574178,Blk 347 Jurong East Ave 1,MHC,600347,"Blk 347, Jurong East Ave 1, S(600347)",1.3451881120087776,103.73114480619329,3.913,4.6956,58.7
403,560403,2750,1.3613083815140214,103.85463332207722,Blk 409 Ang Mo Kio Ave 10,MHC,560409,"Blk 409, Ang Mo Kio Ave 10, S(560409)",1.3626541004343604,103.85528830149764,0.1666,0.1999,2.5
48A,143048,7966,1.2936126424325909,103.80841680585505,Blk 159 Mei Chin Road,MHC,140159,"Blk 159, Mei Chin Road, S(140159)",1.2932362498459655,103.80290387775311,0.615,0.738,9.22
316A,541316,4822,1.3926275077266386,103.88950608807929,Kovan Market & Food Centre,MHC,530209,"Blk 209, Hougang Street 21, S(530209)",1.359083831888168,103.88605537443924,3.7538,4.5045,56.31
890B,732890,5604,1.4382235333354398,103.79232016989678,Blks 20/21 Marsiling Lane,MHC,730020,"Blk 20/21, Marsiling Lane, S(730020/730021)",1.4434048227609568,103.77696721902483,1.8033,2.1639,27.05
634,670634,317,1.3861345073661218,103.75760522155828,Blk 254 Jurong East Street 24,MHC,600254,"Blk 254, Jurong East Street 24, S(600254)",1.3434881256069369,103.73773840345983,5.237,6.2844,78.55
409B,822409,11853,1.4175977452265487,103.90256971045582,Kovan Market & Food Centre,MHC,530209,"Blk 209, Hougang Street 21, S(530209)",1.359083831888168,103.88605537443924,6.7681,8.1217,101.52
606,510606,557,1.3766579332130024,103.9427679131614,Blk 137 Tampines Street 11,MHC,521137,"Blk 137, Tampines Street 11, S(521137)",1.3456395427244823,103.94462454944245,3.4591,4.151,51.89
637,560637,6163,1.380311517872964,103.84235548330655,Blk 628 Ang Mo Kio Ave 4,MHC,560628,"Blk 628, Ang Mo Kio Ave 4, S(560628)",1.3809906014185351,103.8406280943931,0.2066,0.2479,3.1
324,760324,12080,1.4286157995759168,103.84199770644419,Chong Pang Market & Food Centre,MHC,760104,"Blk 104/105, Yishun Ring Road, S(760104/760105)",1.431526731266786,103.82841986163255,1.5454,1.8544,23.18
107,160107,72,1.2798006471298826,103.82476567674156,Blk 112 Jalan Bukit Merah,MHC,160112,"Blk 112, Jalan Bukit Merah, S(160112)",1.280001821226117,103.82600359589021,0.1396,0.1675,2.09
933,520933,6076,1.3453448113473394,103.93906481946892,Blk 137 Tampines Street 11,MHC,521137,"Blk 137, Tampines Street 11, S(521137)",1.3456395427244823,103.94462454944245,0.6196,0.7435,9.29
391A,651391,3648,1.365760406044638,103.75233547233677,Blk 254 Jurong East Street 24,MHC,600254,"Blk 254, Jurong East Street 24, S(600254)",1.3434881256069369,103.73773840345983,2.9641,3.557,44.46
34,330034,7319,1.320203240951546,103.86328392784787,Blk 29 Bendemeer Road,MHC,330029,"Blk 29, Bendemeer Road, S(330029)",1.3192166867721016,103.86302092555596,0.1137,0.1364,1.7
93C,103093,11052091,1.275650815169586,103.80755153370846,Blk 82 Telok Blangah Drive,MK,100082,"Blk 82, Telok Blangah Drive, S(100082)",1.2738912107264204,103.80790065266949,0.1997,0.2396,3.0
467,650467,11899,1.3571819312139117,103.7434639156403,Blk 254 Jurong East Street 24,MHC,600254,"Blk 254, Jurong East Street 24, S(600254)",1.3434881256069369,103.73773840345983,1.6522,1.9826,24.78
418,730418,154,1.4288085109461277,103.77475030816251,Blk 4A Woodlands Centre Road,HC,731004,"Blk 4A, Woodlands Centre Road, S(731004)",1.4410842154426942,103.77007681196069,1.4622,1.7546,21.93
512A,551512,12000,1.3710559757951046,103.87519668583388,Chomp Chomp Food Centre,HC,557269,"20, Kensington Park Road, S(557269)",1.3642325151486436,103.8665270206699,1.228,1.4735,18.42
243,550243,7817,1.3528174723842035,103.86881230832459,Serangoon Garden Market,MHC,555945,"49A, Serangoon Garden Way, S(555945)",1.3630850026687606,103.86672495312547,1.1663,1.3996,17.5
31A,401031,6526,1.3200017402148876,103.9012594996769,Blk 4A Eunos Crescent,MHC,402004,"Blk 4A, Eunos Crescent, S(402004)",1.3203283582527159,103.90426225727037,0.3362,0.4034,5.04
803A,681803,6898,1.373903522335269,103.74280065818363,Blk 254 Jurong East Street 24,MHC,600254,"Blk 254, Jurong East Street 24, S(600254)",1.3434881256069369,103.73773840345983,3.4324,4.1189,51.49
255,650255,4924,1.3501898627200701,103.75853828061942,Bukit Timah Market,MHC,588215,"51, Upper Bukit Timah Road, S(588215)",1.3394524205511975,103.77600731109843,2.2822,2.7386,34.23
603,820603,3167,1.4038697545981509,103.90787119789941,Kovan Market & Food Centre,MHC,530209,"Blk 209, Hougang Street 21, S(530209)",1.359083831888168,103.88605537443924,5.5453,6.6544,83.18
25A,321025,11052212,1.3218674815420006,103.86198231537107,Blk 29 Bendemeer Road,MHC,330029,"Blk 29, Bendemeer Road, S(330029)",1.3192166867721016,103.86302092555596,0.3169,0.3803,4.75
456,530456,311,1.3771819486341041,103.8953474839909,Kovan Market & Food Centre,MHC,530209,"Blk 209, Hougang Street 21, S(530209)",1.359083831888168,103.88605537443924,2.2646,2.7175,33.97
323C,823323,11053265,1.4127451010200158,103.89765649868957,Kovan Market & Food Centre,MHC,530209,"Blk 209, Hougang Street 21, S(530209)",1.359083831888168,103.88605537443924,6.1115,7.3338,91.67
256,570256,3555,1.3613778114141848,103.84268558643926,Blk 341 Ang Mo Kio Ave 1,MHC,560341,"Blk 341, Ang Mo Kio Ave 1, S(560341)",1.363845167386306,103.84806730049579,0.6589,0.7907,9.88
804A,681804,6274,1.3736512867337531,103.74217106442535,Blk 254 Jurong East Street 24,MHC,600254,"Blk 254, Jurong East Street 24, S(600254)",1.3434881256069369,103.73773840345983,3.3938,4.0726,50.91
36,161036,8314,1.2848275350162117,103.83103948752277,Tiong Bahru Market,MHC,168898,"30, Seng Poh Road, S(168898)",1.2847855701797928,103.83218156721784,0.1272,0.1526,1.91
83,140083,4821,1.304721055125339,103.80040390524373,Commonwealth Crescent Market,MHC,149644,"31, Commonwealth Crescent, S(149644)",1.3069953509558183,103.80035645976155,0.2532,0.3039,3.8
112,540112,7155,1.3835555361094514,103.90139907179899,Kovan Market & Food Centre,MHC,530209,"Blk 209, Hougang Street 21, S(530209)",1.359083831888168,103.88605537443924,3.2151,3.8581,48.23
705,530705,11050748,1.3656144486261068,103.88824889944375,Kovan Market & Food Centre,MHC,530209,"Blk 209, Hougang Street 21, S(530209)",1.359083831888168,103.88605537443924,0.7669,0.9203,11.5
541,550541,4294,1.3742639454456003,103.87259962349883,Chomp Chomp Food Centre,HC,557269,"20, Kensington Park Road, S(557269)",1.3642325151486436,103.8665270206699,1.3053,1.5663,19.58
221,600221,10918,1.3408329463692434,103.73689969764602,Blk 254 Jurong East Street 24,MHC,600254,"Blk 254, Jurong East Street 24, S(600254)",1.3434881256069369,103.73773840345983,0.31,0.372,4.65
433A,791433,9177,1.3948612838798118,103.87748581065306,Blk 527 Ang Mo Kio Ave 10,MHC,560527,"Blk 527, Ang Mo Kio Ave 10, S(560527)",1.372772089820446,103.85445796431361,3.5516,4.2619,53.27
62,140062,4887,1.2985124648894721,103.79708252442362,Blks 1A/ 2A/ 3A Commonwealth Drive,HC,141001,"Blk 1A/ 2A/ 3A, Commonwealth Drive, S(141001/141002/141003)",1.2997307173909427,103.79783554496932,0.1594,0.1913,2.39
9,460009,6957,1.3231279453167544,103.93689420672561,Blk 16 Bedok South Road,MHC,460016,"Blk 16, Bedok South Road, S(460016)",1.3205008421917948,103.93547364111234,0.3324,0.3989,4.99
47A,441047,6326,1.3053176629358074,103.91258665476997,Blk 50A Marine Terrace,MHC,441050,"Blk 50A, Marine Terrace, S(441050)",1.3057297369080327,103.91573703958302,0.3536,0.4243,5.3
441,790441,7763,1.3916391046719003,103.87498550778899,Blk 527 Ang Mo Kio Ave 10,MHC,560527,"Blk 527, Ang Mo Kio Ave 10, S(560527)",1.372772089820446,103.85445796431361,3.1032,3.7239,46.55
28,151028,1168,1.2867506087488214,103.81007782335713,ABC Brickworks Market & Food Centre,MHC,150006,"Blk 6, Jalan Bukit Merah, S(150006)",1.2869527547026849,103.80812801459288,0.2182,0.2618,3.27
424,730424,281,1.427241455699233,103.77493811259475,Blk 4A Woodlands Centre Road,HC,731004,"Blk 4A, Woodlands Centre Road, S(731004)",1.4410842154426942,103.77007681196069,1.6332,1.9598,24.5
236,540236,4463,1.39052901655799,103.89942496971723,Kovan Market & Food Centre,MHC,530209,"Blk 209, Hougang Street 21, S(530209)",1.359083831888168,103.88605537443924,3.8036,4.5643,57.05
272,670272,9551,1.3775042535221897,103.77452775714136,Bukit Timah Market,MHC,588215,"51, Upper Bukit Timah Road, S(588215)",1.3394524205511975,103.77600731109843,4.2391,5.087,63.59
714A,731714,5759,1.4414298620801267,103.79908330744294,Blks 20/21 Marsiling Lane,MHC,730020,"Blk 20/21, Marsiling Lane, S(730020/730021)",1.4434048227609568,103.77696721902483,2.471,2.9652,37.06
403,650403,8506,1.3651982867121337,103.74482387952507,Blk 254 Jurong East Street 24,MHC,600254,"Blk 254, Jurong East Street 24, S(600254)",1.3434881256069369,103.73773840345983,2.5422,3.0506,38.13
118,610118,7856,1.3353425900799882,103.72289045913648,Taman Jurong Market & Food Centre,MHC,618499,"3, Yung Sheng Road, S(618499)",1.3345893785047198,103.72151991984624,0.1741,0.2089,2.61
154,650154,4347,1.347654249727533,103.74402261196795,Blk 254 Jurong East Street 24,MHC,600254,"Blk 254, Jurong East Street 24, S(600254)",1.3434881256069369,103.73773840345983,0.8392,1.007,12.59
164,521164,10226,1.3496438789934313,103.94634663756896,Blk 137 Tampines Street 11,MHC,521137,"Blk 137, Tampines Street 11, S(521137)",1.3456395427244823,103.94462454944245,0.4852,0.5823,7.28
186B,542186,4815,1.3927433905092277,103.90551094225299,Kovan Market & Food Centre,MHC,530209,"Blk 209, Hougang Street 21, S(530209)",1.359083831888168,103.88605537443924,4.3276,5.1931,64.91
483A,681483,11531,1.3759553831812537,103.73712221641951,Blk 347 Jurong East Ave 1,MHC,600347,"Blk 347, Jurong East Ave 1, S(600347)",1.3451881120087776,103.73114480619329,3.489,4.1868,52.34
5,400005,7539,1.321237258660996,103.90353695059414,Blk 4A Eunos Crescent,MHC,402004,"Blk 4A, Eunos Crescent, S(402004)",1.3203283582527159,103.90426225727037,0.1294,0.1553,1.94
21,390021,2732,1.3075827339700223,103.8844396118492,Kallang Estate Market,MHC,397972,"17, Old Airport Road, S(397972)",1.3073440158193488,103.88401830594455,0.0539,0.0647,0.81
686C,733686,2023,1.4423076896773142,103.8067976204314,Chong Pang Market & Food Centre,MHC,760104,"Blk 104/105, Yishun Ring Road, S(760104/760105)",1.431526731266786,103.82841986163255,2.6889,3.2267,40.33
37,461037,6860,1.325473064175966,103.92622659045118,Blk 208B New Upper Changi Road,HC,462208,"Blk 208B, New Upper Changi Road, S(462208)",1.324818168664196,103.93054429749219,0.486,0.5832,7.29
614A,521614,11054176,1.36493469953284,103.93655992705384,Blk 137 Tampines Street 11,MHC,521137,"Blk 137, Tampines Street 11, S(521137)",1.3456395427244823,103.94462454944245,2.3279,2.7935,34.92
187B,462187,10443,1.3304499570443575,103.94013177107553,Blk 85 Bedok North Street 4,MHC,460085,"Blk 85, Bedok North Street 4, S(460085)",1.3320577697615454,103.93871502759151,0.2385,0.2862,3.58
101B,752101,11053491,1.4517292530132337,103.83140479456485,Chong Pang Market & Food Centre,MHC,760104,"Blk 104/105, Yishun Ring Road, S(760104/760105)",1.431526731266786,103.82841986163255,2.2733,2.728,34.1
514C,573514,6470,1.3506296097187875,103.85040199652175,Blk 210 Toa Payoh Lorong 8,MHC,310210,"Blk 210, Lorong 8 Toa Payoh, S(310210)",1.340252082146037,103.85433383564761,1.2353,1.4824,18.53
113D,325113,13041,1.3202822675449108,103.85984663803845,Blk 29 Bendemeer Road,MHC,330029,"Blk 29, Bendemeer Road, S(330029)",1.3192166867721016,103.86302092555596,0.3727,0.4472,5.59
211D,544211,8732,1.385588025728807,103.89975601228218,Kovan Market & Food Centre,MHC,530209,"Blk 209, Hougang Street 21, S(530209)",1.359083831888168,103.88605537443924,3.3211,3.9854,49.82
102B,752102,11053492,1.4512408165358073,103.83145475454604,Chong Pang Market & Food Centre,MHC,760104,"Blk 104/105, Yishun Ring Road, S(760104/760105)",1.431526731266786,103.82841986163255,2.2204,2.6645,33.31
121,760121,1343,1.4342212695376566,103.83005771087028,Chong Pang Market & Food Centre,MHC,760104,"Blk 104/105, Yishun Ring Road, S(760104/760105)",1.431526731266786,103.82841986163255,0.351,0.4212,5.26
725,510725,4740,1.3814026781986803,103.93578376039632,Blk 137 Tampines Street 11,MHC,521137,"Blk 137, Tampines Street 11, S(521137)",1.3456395427244823,103.94462454944245,4.1009,4.9211,61.51
137D,525137,11066,1.3459861307976395,103.94487172062856,Blk 137 Tampines Street 11,MHC,521137,"Blk 137, Tampines Street 11, S(521137)",1.3456395427244823,103.94462454944245,0.0474,0.0569,0.71
15,310015,5938,1.3359228688964337,103.85907117568382,Blk 22 Toa Payoh Lorong 7,MHC,310022,"Blk 22, Lorong 7 Toa Payoh, S(310022)",1.335382605843395,103.85700371355455,0.2378,0.2854,3.57
661A,641661,7109,1.3356821967552814,103.70504991590644,Quality Road Food Centre,HC,618824,"45, Quality Road, S(618824)",1.333252196135717,103.71047687645445,0.6618,0.7941,9.93
7,150007,1763,1.287665993984416,103.80793902843988,ABC Brickworks Market & Food Centre,MHC,150006,"Blk 6, Jalan Bukit Merah, S(150006)",1.2869527547026849,103.80812801459288,0.0821,0.0986,1.23
